Airports,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
KLIA 1,24545711 ,22298140 ,25305221 ,28196313 ,28021775 ,29128481 ,5985403 ,2087622 ,13162786 ,23625580 
KLIA 2,24026123 ,26319086 ,27119023 ,30267030 ,31866394 ,33128941 ,7134875 ,1858491 ,12066697 ,23558968
