terminal,year,passengers
KLIA 1,2014,24545711
KLIA 1,2015,22298140
KLIA 1,2016,25305221
KLIA 1,2017,28196313
KLIA 1,2018,28021775
KLIA 1,2019,29128481
KLIA 1,2020,5985403
KLIA 1,2021,2087622
KLIA 1,2022,13162786
KLIA 1,2023,23625580
KLIA 2,2014,24026123
KLIA 2,2015,26319086
KLIA 2,2016,27119023
KLIA 2,2017,30267030
KLIA 2,2018,31866394
KLIA 2,2019,33128941
KLIA 2,2020,7134875
KLIA 2,2021,1858491
KLIA 2,2022,12066697
KLIA 2,2023,23558968
