airport,Domestic Arrival,Domestic Departure,International Arrival,International Departure,Total
Terminal 1,2594413 ,2547039 ,9358899 ,9125229 ,23625580 
Terminal 2,4791963 ,4730266 ,6990986 ,7045753 ,23558968 
